,AU
661,Koseoglu Yuksel
662,Uyar Zafer
663,Subasi Mehmet
664,Uzun Hakan
665,Yildirim Mustafa
666,Gulturk Elif
667,Soyupek Yusuf
668,Reis Selcuk
669,Saritemur Murat
670,Firat Ugur
671,Sahin Figen
672,Temizyurek Ahmet
673,Ozoglu Murat
674,Kose Murtaza
675,Demir Veysel
676,Sakcali Mehmet
677,Yildiz Ali
678,Cantek Laika
679,Ozturk Atiye
680,Miran Bulent
681,Erzurumluoglu Bayram
682,Kurt Savas
683,Tetin Mehmet
684,Koca Irfan
685,Erdogan Utku
686,Ucgun Irfan
687,Kaymakci Yasemin
688,Yildiz Nuerttin
689,Kalay Mustafa
690,Yuce Abdulhakim
691,Bakan Hakan
692,Tekinay Ayse
693,Boyaci Yasar
694,Bilican Recep
695,Savas Esen
696,Bozoglan Orhan
697,Ata Mursel
698,Caliskan Ali
699,Seyhan Salih
700,Cilgi Gulbanu
701,Erkut Adem
702,Celik Ahmet
703,Altinel Levent
704,Tombak Nurdogan
705,Demir Yusuf
706,Topal Yusuf
707,Sacar Mustafa
708,Yucel Kivilcim
709,Zincirkiran Mustafa
710,Kilic Ahmet
711,Kurt Erkan
712,Turkoglu Aziz
713,Cakir Lutfullah
714,Yariktas Murat
715,Isik Mustafa
716,Aynali Ayse
717,Onen Erol
718,Cetiner Muazzez
719,Annagur Bilge
720,Kilinc Emin
721,Tatlioglu Durmus
722,Ozdemir Mevci
723,Baskan Saim
724,Ozenoglu Aliye
725,Kuyucu Fikret
726,Gilgil Erdal
727,Guney Nail
728,Aksoy Veli
729,Yaylagul Miyase
730,Avci Asli
731,Bozkurt Nurgul
732,Kurban Rifat
733,Yigin Musa
734,Ela Yuksel
735,Satis Ihsan
736,Muftuoglu Ahmet
737,Yaman Hakan
738,Yuksel Murat
739,Simavli Serap
740,Ogelman Hulya
741,Aydemir Nurdane
742,Cicek Cuma
743,Celep Ferhat
744,Guler Metin
745,Ozturk Abdulkadir
746,Mutlu Fatih
747,Sahin Canay
748,Dalli Mehmet
749,Ustyol Lokman
750,Atesoglu Irfan
751,Talo Ozer
752,Tas Elif
753,Sarikaya Savas
754,Ozdemir Muhsin
755,Usta Keziban
756,Kayikci Gulsen
757,Baltaci Davut
758,Basaran Engin
759,Kilic Adil
760,Nart Ergun
761,Yasar Sinan
762,Aksoy Mehmet
763,Temel Tuba
764,Yavuz Lutfullah
765,Inan Umit
766,Polat Aziz
767,Benlioglu Can
768,Turkmen Durmus
769,Ayyildiz Erdem
770,Oz Faruk
771,Davutoglu Mehmet
772,Kilkis Dogan
773,Aslantas Ali
774,Coskun Salih
775,Budak Ali
776,Seban Demet
777,Ince Bayram
778,Gunduz Gurhan
779,Ogreten Ahmet
780,Varol Muharrem
781,Ozgelen Sinan
782,Bunarcioglu Durmus
783,Saglam Yilmaz
784,Tekinay Ahmet
785,Ahmetoglu Fuat
786,Tanriverdi Hakan
787,Bayraktar Alemdar
788,Chifane Cristina
789,Nart Maruf
790,Bodur Abdurrahman
791,Yaman Ferda
792,Sofuoglu Yusuf
793,Erbag Gokhan
794,Barut Nesli
795,Kilinc Aziz
796,Kara Adem
797,Onder Mehmet
798,Yorulmaz Bilal
799,Deveci Ozcan
800,Kole Bekir
801,Bayram Mehmet
802,Catir Fulya
803,Gergerlioglu Hasan
804,Ozdemir Emin
805,Eskikurt Halil
806,Biber Erdal
807,Atasoy Mustafa
808,Kamak Hasan
809,Kocaman Sinan
810,Yildiz Bilal
811,Arici Semih
812,Temizer Aydin
813,Ayata Yunus
814,Ceviz Mehmet
815,Kulahli Ismail
816,Altun Nurullah
817,Kaplan Yavuz
818,Arslan Sonmez
819,Cure Medine
820,Gurler Zafer
821,Gurbuz Ali
822,Gunbey Emre
823,Ari Tuba
824,Oz Fahri
825,Ozkuk Gokan
826,Duran Fatih
827,Tanrioven Mugdesem
828,Soydemir Suat
829,Savas Bilal
830,Bagci Cahit
831,Kilic Zubeyir
832,Dagli Ummuhan
833,Oturanc Galip
834,Cinkaya Muhammed
835,Yesilyurt Etem
836,Sanli Ismet
837,Kilic Tuncer
838,Besir Fahri
839,Karapirli Mustafa
840,Kizil Suleyman
841,Cegil Ozkan
842,Yilmaz Mustafa
843,Karacabey Sureyya
844,Poyraz Seref
845,Uysal Murat
846,Gokay Necmi
847,Pamuk Sonmez
848,Kesici Mehmet
849,Yildirim Unal
850,Erol Mehmet
851,Pilicer Ercan
852,Samancioglu Mustafa
853,Dundar Sefa
854,Kaytaz Ali
855,Yarar Betul
856,Yavuz Tevfik
857,Gocer Ismet
858,Toprak Selcuk
859,Yilmaz Remzi
860,Okuyucu Ali
861,Anar Mustafa
862,Gonel Husein
863,Kosger Hasan
864,Bas Yalcin
865,Simsek Nejdet
866,Kisa Sezer
867,Yazici Mehmet
868,Koroglu Mehmet
869,Celik Muhsin
870,Demir Suleyman
871,Ustun Ihsan
872,Cayir Celal
873,Baser Kadir
874,Melemez Kenan
875,Karavelioglu Afka
876,Karakurt Lokman
877,Baglibel Murat
878,Bolek Yuksel
879,Unal Halil
880,Kara Ismail
881,Cakir Ismail
882,Acer Zabit
883,Sen Ilker
